XNSE/N1JYOTISTRUC,Jyoti Structures Ltd. (N1JYOTISTRUC) Adjusted Stock Prices
XNSE/CHESLINTEX,Cheslind Textiles Ltd. (EQCHESLINTEX) Adjusted Stock Prices
XNSE/CHETTINAD,Chettinad Cement Corporation Ltd. (EQCHETTINAD) Adjusted Stock Prices
XNSE/W1JYOTISTRUC,Jyoti Structures Ltd. (W1JYOTISTRUC) Adjusted Stock Prices
XNSE/CHOLAFIN,Cholamandalam Investment and Finance Company Ltd. (EQCHOLAFIN) Adjusted Stock Prices
XNSE/CHROMATIC,Chromatic India Ltd. (EQCHROMATIC) Adjusted Stock Prices
XNSE/CIMMCO,Cimmco Ltd. (EQCIMMCO) Adjusted Stock Prices
XNSE/CINEVISTA,Cinevista Ltd (EQCINEVISTA) Adjusted Stock Prices
XNSE/CIPLA,Cipla Ltd. (EQCIPLA) Adjusted Stock Prices
XNSE/CUB,City Union Bank Ltd. (EQCUB) Adjusted Stock Prices
XNSE/N5IDFC,IDFC Ltd (N5IDFC) Adjusted Stock Prices
XNSE/N6IDFC,IDFC Ltd (N6IDFC) Adjusted Stock Prices
XNSE/CLUTCHAUTO,Clutch Auto Ltd. (EQCLUTCHAUTO) Adjusted Stock Prices
XNSE/CLASSIC,Classic Diamonds (India) Ltd. (EQCLASSIC) Adjusted Stock Prices
XNSE/DICIND,DIC India Ltd. (EQDICIND) Adjusted Stock Prices
XNSE/SASKEN,Sasken Technologies Ltd. (EQSASKEN) Adjusted Stock Prices
XNSE/CLNINDIA,Clariant Chemicals (India) Ltd. (EQCLNINDIA) Adjusted Stock Prices
XNSE/COLPAL,Colgate-Palmolive (India) Ltd. (EQCOLPAL) Adjusted Stock Prices
XNSE/SPHEREGSL,Adroit Infotech Ltd. (EQSPHEREGSL) Adjusted Stock Prices
XNSE/URJA,Urja Global Ltd (EQURJA) Adjusted Stock Prices
XNSE/TEXRAIL,Texmaco Rail & Engineering Ltd (EQTEXRAIL) Adjusted Stock Prices
XNSE/COMPUSOFT,Compucom Software Ltd. (EQCOMPUSOFT) Adjusted Stock Prices
XNSE/COMPUTECH,Computech International Ltd. (EQCOMPUTECH) Adjusted Stock Prices
XNSE/CONCOR,Container Corporation of India Ltd. (EQCONCOR) Adjusted Stock Prices
XNSE/CCL,CCL Products (India) Ltd. (EQCCL) Adjusted Stock Prices
XNSE/CORALFINAC,Coral India Finance & Housing Ltd. (EQCORALFINAC) Adjusted Stock Prices
XNSE/CONTROLPR,Control Print Ltd (EQCONTROLPR) Adjusted Stock Prices
XNSE/AUSOMENT,Ausom Enterprise Ltd (EQAUSOMENT) Adjusted Stock Prices
XNSE/COROMANDEL,Coromandel International Ltd (EQCOROMANDEL) Adjusted Stock Prices
XNSE/CORPBANK,Corporation Bank (EQCORPBANK) Adjusted Stock Prices
XNSE/CCHHL,Country Club Hospitality & Holidays Ltd. (EQCCHHL) Adjusted Stock Prices
XNSE/COSMOFILMS,Cosmo Films Ltd. (EQCOSMOFILMS) Adjusted Stock Prices
XNSE/CREATIVEYE,Creative Eye Ltd. (EQCREATIVEYE) Adjusted Stock Prices
XNSE/CRISIL,Crisil Ltd. (EQCRISIL) Adjusted Stock Prices
XNSE/CRESTANI,Crest Animation Studios Ltd. (EQCRESTANI) Adjusted Stock Prices
XNSE/CGPOWER,CG Power & Industrial Solutions Ltd. (EQCGPOWER) Adjusted Stock Prices
XNSE/CUBEXTUB,Cubex Tubings Ltd. (EQCUBEXTUB) Adjusted Stock Prices
XNSE/CUMMINSIND,Cummins India Ltd. (EQCUMMINSIND) Adjusted Stock Prices
XNSE/CUPID,Cupid Ltd. (EQCUPID) Adjusted Stock Prices
XNSE/CYBERTECH,Cybertech Systems & Software Ltd. (EQCYBERTECH) Adjusted Stock Prices
XNSE/DBSTOCKBRO,DB (International) Stock Brokers Ltd. (EQDBSTOCKBRO) Adjusted Stock Prices
XNSE/DSKULKARNI,D.S. Kulkarni Developers Ltd. (EQDSKULKARNI) Adjusted Stock Prices
XNSE/DCMFINSERV,DCM Financial Services Ltd. (EQDCMFINSERV) Adjusted Stock Prices
XNSE/DCM,DCM Ltd. (EQDCM) Adjusted Stock Prices
XNSE/DCMSHRIRAM,DCM Shriram Ltd. (EQDCMSHRIRAM) Adjusted Stock Prices
XNSE/DCW,DCW Ltd. (EQDCW) Adjusted Stock Prices
XNSE/DFMFOODS,DFM Foods Ltd. (EQDFMFOODS) Adjusted Stock Prices
XNSE/WINDMACHIN,Windsor Machines Ltd. (EQWINDMACHIN) Adjusted Stock Prices
XNSE/CYBERMEDIA,Cyber Media (India) Ltd. (EQCYBERMEDIA) Adjusted Stock Prices
XNSE/DABUR,Dabur India Ltd. (EQDABUR) Adjusted Stock Prices
XNSE/DALMIASUG,Dalmia Bharat Sugar and Industries Ltd (EQDALMIASUG) Adjusted Stock Prices
XNSE/DAMODARIND,Damodar Industries Ltd (EQDAMODARIND) Adjusted Stock Prices
XNSE/DECCANCE,Deccan Cements Ltd. (EQDECCANCE) Adjusted Stock Prices
XNSE/P1ESTL,Essar Steel Ltd. (P1ESTL) Adjusted Stock Prices
XNSE/NDL,Nandan Denim Ltd (EQNDL) Adjusted Stock Prices
XNSE/DEEPAKNTR,Deepak Nitrite Ltd. (EQDEEPAKNTR) Adjusted Stock Prices
XNSE/DEEPAKFERT,Deepak Fertilisers & Petrochemicals Corp. Ltd. (EQDEEPAKFERT) Adjusted Stock Prices
XNSE/DENABANK,Dena Bank (EQDENABANK) Adjusted Stock Prices
XNSE/DENSO,Denso India Ltd. (EQDENSO) Adjusted Stock Prices
XNSE/LOVABLE,Lovable Lingerie Ltd (EQLOVABLE) Adjusted Stock Prices
XNSE/DHANBANK,Dhanlaxmi Bank Ltd. (EQDHANBANK) Adjusted Stock Prices
XNSE/DHFL,Dewan Housing Finance Corporation Ltd. (EQDHFL) Adjusted Stock Prices
XNSE/UNIPLY,Uniply Industries Ltd (EQUNIPLY) Adjusted Stock Prices
XNSE/DHANUKA,Dhanuka Agritech Ltd (EQDHANUKA) Adjusted Stock Prices
XNSE/DHARSUGAR,Dharani Sugars & Chemicals Ltd. (EQDHARSUGAR) Adjusted Stock Prices
XNSE/DPL,Dhunseri Petrochem Ltd. (EQDPL) Adjusted Stock Prices
XNSE/DIAPOWER,Diamond Power Infrastructure Ltd. (EQDIAPOWER) Adjusted Stock Prices
XNSE/BODALCHEM,Bodal Chemicals Ltd. (EQBODALCHEM) Adjusted Stock Prices
XNSE/DOLPHINOFF,Dolphin Offshore Enterprises (India) Ltd. (EQDOLPHINOFF) Adjusted Stock Prices
XNSE/DONEAR,Donear Industries Ltd. (EQDONEAR) Adjusted Stock Prices
XNSE/CGCL,Capri Global Capital Ltd (EQCGCL) Adjusted Stock Prices
XNSE/DRREDDY,Dr. Reddy`s Laboratories Ltd. (EQDRREDDY) Adjusted Stock Prices
XNSE/DREDGECORP,Dredging Corporation of India Ltd. (EQDREDGECORP) Adjusted Stock Prices
XNSE/DUNCANSLTD,Duncans Industries Ltd. (EQDUNCANSLTD) Adjusted Stock Prices
XNSE/DSSL,Dynacons Systems & Solutions Ltd. (EQDSSL) Adjusted Stock Prices
XNSE/DYNAMATECH,Dynamatic Technologies Ltd. (EQDYNAMATECH) Adjusted Stock Prices
XNSE/PFS,PTC India Financial Services Ltd. (EQPFS) Adjusted Stock Prices
XNSE/MERCK,Merck Ltd. (EQMERCK) Adjusted Stock Prices
XNSE/EIDPARRY,E.I.D.-Parry (India) Ltd. (EQEIDPARRY) Adjusted Stock Prices
XNSE/EIHAHOTELS,EIH Associated Hotels Ltd. (EQEIHAHOTELS) Adjusted Stock Prices
XNSE/EIHOTEL,EIH Ltd. (EQEIHOTEL) Adjusted Stock Prices
XNSE/ESABINDIA,ESAB India Ltd. (EQESABINDIA) Adjusted Stock Prices
XNSE/EASTSILK,Eastern Silk Industries Ltd. (EQEASTSILK) Adjusted Stock Prices
XNSE/EICHER,Eicher Ltd. (EQEICHER) Adjusted Stock Prices
XNSE/EASUNREYRL,Easun Reyrolle Ltd. (EQEASUNREYRL) Adjusted Stock Prices
XNSE/EICHERMOT,Eicher Motors Ltd. (EQEICHERMOT) Adjusted Stock Prices
XNSE/CRANESSOFT,Cranes Software International Ltd. (EQCRANESSOFT) Adjusted Stock Prices
XNSE/EIMCOELECO,Eimco Elecon (India) Ltd. (EQEIMCOELECO) Adjusted Stock Prices
XNSE/ELFORGE,El Forge Ltd. (EQELFORGE) Adjusted Stock Prices
XNSE/ELDERPHARM,Elder Pharmaceuticals Ltd. (EQELDERPHARM) Adjusted Stock Prices
XNSE/ELECON,Elecon Engineering Co. Ltd. (EQELECON) Adjusted Stock Prices
XNSE/ELECTCAST,Electrosteel Castings Ltd. (EQELECTCAST) Adjusted Stock Prices
XNSE/ELECTHERM,Electrotherm (India) Ltd. (EQELECTHERM) Adjusted Stock Prices
XNSE/ELGIEQUIP,Elgi Equipments Ltd. (EQELGIEQUIP) Adjusted Stock Prices
XNSE/ELGIRUBBER,Elgi Rubber Company Ltd (EQELGIRUBBER) Adjusted Stock Prices
XNSE/ELNET,Elnet Technologies Ltd. (EQELNET) Adjusted Stock Prices
XNSE/EMAMILTD,Emami Ltd. (EQEMAMILTD) Adjusted Stock Prices
XNSE/EMCO,Emco Ltd. (EQEMCO) Adjusted Stock Prices
XNSE/EMPEESUG,Empee Sugars & Chemicals Ltd. (EQEMPEESUG) Adjusted Stock Prices
XNSE/ENERGYDEV,Energy Development Co. Ltd. (EQENERGYDEV) Adjusted Stock Prices
XNSE/ENGINERSIN,Engineers India Ltd. (EQENGINERSIN) Adjusted Stock Prices
XNSE/HINDUJAFO,Hinduja Foundries Ltd. (EQHINDUJAFO) Adjusted Stock Prices
XNSE/ERAINFRA,Era Infra Engineering Ltd. (EQERAINFRA) Adjusted Stock Prices
XNSE/ESCORTS,Escorts Ltd. (EQESCORTS) Adjusted Stock Prices
XNSE/ESSAROIL,Essar Oil Ltd. (EQESSAROIL) Adjusted Stock Prices
XNSE/ESSARPORTS,Essar Ports Ltd (EQESSARPORTS) Adjusted Stock Prices
XNSE/ESSARSHIP,Essar Ports Ltd (EQESSARSHIP) Adjusted Stock Prices
XNSE/N6SBIN,State Bank of India (N6SBIN) Adjusted Stock Prices
XNSE/N5SBIN,State Bank of India (N5SBIN) Adjusted Stock Prices
XNSE/ESTL,Essar Steel Ltd. (EQESTL) Adjusted Stock Prices
XNSE/ESSELPACK,Essel Propack Ltd (EQESSELPACK) Adjusted Stock Prices
XNSE/ESTER,Ester Industries Ltd. (EQESTER) Adjusted Stock Prices
XNSE/EVERESTIND,Everest Industries Ltd. (EQEVERESTIND) Adjusted Stock Prices
XNSE/ALANKIT,Alankit Ltd. (EQALANKIT) Adjusted Stock Prices
XNSE/N3SBIN,State Bank of India (N3SBIN) Adjusted Stock Prices
XNSE/N4SBIN,State Bank of India (N4SBIN) Adjusted Stock Prices
XNSE/SHILPI,Shilpi Cable Technologies Ltd (EQSHILPI) Adjusted Stock Prices
XNSE/EUROTEXIND,Eurotex Industries & Exports Ltd. (EQEUROTEXIND) Adjusted Stock Prices
XNSE/EXCELINDUS,Excel Industries Ltd. (EQEXCELINDUS) Adjusted Stock Prices
XNSE/EVEREADY,Eveready Industries India Ltd. (EQEVEREADY) Adjusted Stock Prices
XNSE/FDC,FDC Ltd. (EQFDC) Adjusted Stock Prices
XNSE/EXIDEIND,Exide Industries Ltd. (EQEXIDEIND) Adjusted Stock Prices
XNSE/SCHAEFFLER,Schaeffler India Ltd. (EQSCHAEFFLER) Adjusted Stock Prices
XNSE/FEDDERELEC,Fedders Electric & Engineering Ltd (EQFEDDERELEC) Adjusted Stock Prices
XNSE/FEDERALBNK,Federal Bank Ltd. (EQFEDERALBNK) Adjusted Stock Prices
XNSE/N6L_TINFRA,L&T Infrastructure Finance Co Ltd. (N6L&TINFRA) Adjusted Stock Prices
XNSE/FILATEX,Filatex India Ltd. (EQFILATEX) Adjusted Stock Prices
XNSE/SGFL,Shree Ganesh Forgings Ltd. (EQSGFL) Adjusted Stock Prices
XNSE/FACT,Fertilisers & Chemicals Travancore Ltd. (EQFACT) Adjusted Stock Prices
XNSE/FINPIPE,Finolex Industries Ltd. (EQFINPIPE) Adjusted Stock Prices
XNSE/FINCABLES,Finolex Cables Ltd. (EQFINCABLES) Adjusted Stock Prices
XNSE/FIRSTLEASE,First Leasing Co. of India Ltd. (EQFIRSTLEASE) Adjusted Stock Prices
XNSE/UFLEX,Uflex Ltd. (EQUFLEX) Adjusted Stock Prices
XNSE/FLEX,Uflex Ltd. (EQFLEX) Adjusted Stock Prices
XNSE/FORTUNEFIN,Fortune Financial Services (India) Ltd. (EQFORTUNEFIN) Adjusted Stock Prices
XNSE/INTENTECH,Intense Technologies Ltd. (EQINTENTECH) Adjusted Stock Prices
XNSE/N1DRREDDY,Dr. Reddy`s Laboratories Ltd. (N1DRREDDY) Adjusted Stock Prices
XNSE/FOSECOIND,Foseco India Ltd. (EQFOSECOIND) Adjusted Stock Prices
XNSE/OENCONNECT,FCI OEN Connectors Ltd. (EQOENCONNECT) Adjusted Stock Prices
XNSE/GMBREW,G.M. Breweries Ltd. (EQGMBREW) Adjusted Stock Prices
XNSE/ZENSARTECH,Zensar Technologies Ltd. (EQZENSARTECH) Adjusted Stock Prices
XNSE/DELTAMAGNT,Delta Magnets Ltd (EQDELTAMAGNT) Adjusted Stock Prices
XNSE/GEINDSYS,GEI Industrial Systems Ltd. (EQGEINDSYS) Adjusted Stock Prices
XNSE/MAHLIFE,Mahindra Lifespace Developers Ltd. (EQMAHLIFE) Adjusted Stock Prices
XNSE/N100,Motilal Oswal Asset Management Company Limited (EQN100) Adjusted Stock Prices
XNSE/GICHSGFIN,GIC Housing Finance Ltd. (EQGICHSGFIN) Adjusted Stock Prices
XNSE/PARRYSUGAR,Parry Sugar Industries Ltd (EQPARRYSUGAR) Adjusted Stock Prices
XNSE/GKWLIMITED,GKW Ltd. (EQGKWLIMITED) Adjusted Stock Prices
XNSE/GRUH,GRUH Finance Ltd. (EQGRUH) Adjusted Stock Prices
XNSE/GTNIND,GTN Industries Ltd. (EQGTNIND) Adjusted Stock Prices
XNSE/GOLDENTOBC,Golden Tobacco Ltd (EQGOLDENTOBC) Adjusted Stock Prices
XNSE/GABRIEL,Gabriel India Ltd. (EQGABRIEL) Adjusted Stock Prices
XNSE/SHLAKSHMI,Shri Lakshmi Cotsyn Ltd (EQSHLAKSHMI) Adjusted Stock Prices
XNSE/GAMMONIND,Gammon India Ltd. (EQGAMMONIND) Adjusted Stock Prices
XNSE/GANDHITUBE,Gandhi Special Tubes Ltd. (EQGANDHITUBE) Adjusted Stock Prices
XNSE/BUTTERFLY,Butterfly Gandhimathi Appliances Ltd (EQBUTTERFLY) Adjusted Stock Prices
XNSE/GANESHHOUC,Ganesh Housing Corporation Ltd. (EQGANESHHOUC) Adjusted Stock Prices
XNSE/GANECOS,Ganesha Ecosphere Ltd (EQGANECOS) Adjusted Stock Prices
XNSE/GANGOTRI,Gangotri Textiles Ltd. (EQGANGOTRI) Adjusted Stock Prices
XNSE/GARDENSILK,Garden Silk Mills Ltd. (EQGARDENSILK) Adjusted Stock Prices
XNSE/KSERASERA,KSS Ltd (EQKSERASERA) Adjusted Stock Prices
XNSE/GLOBOFFS,Global Offshore Services Ltd (EQGLOBOFFS) Adjusted Stock Prices
XNSE/GAIL,Gail (India) Ltd. (EQGAIL) Adjusted Stock Prices
XNSE/GARWALLROP,Garware-Wall Ropes Ltd. (EQGARWALLROP) Adjusted Stock Prices
XNSE/GATI,Gati Ltd. (EQGATI) Adjusted Stock Prices
XNSE/GEMINI,Gemini Communications Ltd. (EQGEMINI) Adjusted Stock Prices
XNSE/GENESYS,Genesys International Corporation Ltd. (EQGENESYS) Adjusted Stock Prices
XNSE/GENUSPOWER,Genus Power Infrastructures Ltd (EQGENUSPOWER) Adjusted Stock Prices
XNSE/GEODESIC,Geodesic Ltd (EQGEODESIC) Adjusted Stock Prices
XNSE/GEOJITFSL,Geojit Financial Services Ltd. (EQGEOJITFSL) Adjusted Stock Prices
XNSE/GEOMETRIC,Geometric Ltd. (EQGEOMETRIC) Adjusted Stock Prices
XNSE/N7IDFC,IDFC Ltd (N7IDFC) Adjusted Stock Prices
XNSE/N8IDFC,IDFC Ltd (N8IDFC) Adjusted Stock Prices
XNSE/GILLETTE,Gillette India Ltd. (EQGILLETTE) Adjusted Stock Prices
XNSE/MMWL,Media Matrix Worldwide Ltd. (EQMMWL) Adjusted Stock Prices
XNSE/GINNIFILA,Ginni Filaments Ltd. (EQGINNIFILA) Adjusted Stock Prices
XNSE/GLAXO,GlaxoSmithkline Pharmaceuticals Ltd (EQGLAXO) Adjusted Stock Prices
XNSE/GLENMARK,Glenmark Pharmaceuticals Ltd. (EQGLENMARK) Adjusted Stock Prices
XNSE/GTL,GTL Ltd. (EQGTL) Adjusted Stock Prices
XNSE/GOACARBON,Goa Carbon Ltd. (EQGOACARBON) Adjusted Stock Prices
XNSE/GODAVRFERT,Godavari Fertilisers & Chemicals Ltd. (EQGODAVRFERT) Adjusted Stock Prices
XNSE/GODFRYPHLP,Godfrey Phillips India Ltd. (EQGODFRYPHLP) Adjusted Stock Prices
XNSE/GODREJIND,Godrej Industries Ltd. (EQGODREJIND) Adjusted Stock Prices
XNSE/FMGOETZE,Federal Mogul Goetze (India) Ltd. (EQFMGOETZE) Adjusted Stock Prices
XNSE/GOLDIAM,Goldiam International Ltd. (EQGOLDIAM) Adjusted Stock Prices
XNSE/GOLDTECH,Goldstone Technologies Ltd (EQGOLDTECH) Adjusted Stock Prices
XNSE/GOODLUCK,Goodluck India Ltd. (EQGOODLUCK) Adjusted Stock Prices
XNSE/KANSAINER,Kansai Nerolac Paints Ltd. (EQKANSAINER) Adjusted Stock Prices
XNSE/GRASIM,Grasim Industries Ltd. (EQGRASIM) Adjusted Stock Prices
XNSE/GESHIP,Great Eastern Shipping Co. Ltd. (EQGESHIP) Adjusted Stock Prices
XNSE/GREAVESCOT,Greaves Cotton Ltd. (EQGREAVESCOT) Adjusted Stock Prices
XNSE/GREENPLY,Greenply Industries Ltd. (EQGREENPLY) Adjusted Stock Prices
XNSE/GRINDWELL,Grindwell Norton Ltd. (EQGRINDWELL) Adjusted Stock Prices
XNSE/GUFICBIO,Gufic Biosciences Ltd. (EQGUFICBIO) Adjusted Stock Prices
XNSE/GUJALKALI,Gujarat Alkalies & Chemicals Ltd. (EQGUJALKALI) Adjusted Stock Prices
XNSE/AMBUJACEM,Ambuja Cements Ltd (EQAMBUJACEM) Adjusted Stock Prices
XNSE/GAEL,Gujarat Ambuja Exports Ltd. (EQGAEL) Adjusted Stock Prices
XNSE/GUJAPOLLO,Gujarat Apollo Industries Ltd. (EQGUJAPOLLO) Adjusted Stock Prices
XNSE/MUNJALAU,Munjal Auto Industries Ltd. (EQMUNJALAU) Adjusted Stock Prices
XNSE/JKCEMENT,J.K. Cement Ltd. (EQJKCEMENT) Adjusted Stock Prices
XNSE/GUJFLUORO,Gujarat Fluorochemicals Ltd. (EQGUJFLUORO) Adjusted Stock Prices
XNSE/GUJRATGAS,Gujarat Gas Co. Ltd. (EQGUJRATGAS) Adjusted Stock Prices
XNSE/GHCL,GHCL Ltd. (EQGHCL) Adjusted Stock Prices
XNSE/GIPCL,Gujarat Industries Power Co. Ltd. (EQGIPCL) Adjusted Stock Prices
XNSE/GLFL,Gujarat Lease Financing Ltd. (EQGLFL) Adjusted Stock Prices
XNSE/GMDCLTD,Gujarat Mineral Development Corporation Ltd. (EQGMDCLTD) Adjusted Stock Prices
XNSE/GUJNRECOKE,Gujarat NRE Coke Ltd (EQGUJNRECOKE) Adjusted Stock Prices
XNSE/GNFC,Gujarat Narmada Valley Fertilizers & Chemicals Ltd (EQGNFC) Adjusted Stock Prices
XNSE/MUTHOOTFIN,Muthoot Finance Ltd. (EQMUTHOOTFIN) Adjusted Stock Prices
XNSE/GRPLTD,GRP Ltd. (EQGRPLTD) Adjusted Stock Prices
XNSE/SETCO,Setco Automotive Ltd. (EQSETCO) Adjusted Stock Prices
XNSE/GSCLCEMENT,Gujarat Sidhee Cement Ltd. (EQGSCLCEMENT) Adjusted Stock Prices
XNSE/GUJSTATFIN,Gujarat State Financial Corporation (EQGUJSTATFIN) Adjusted Stock Prices
XNSE/GSFC,Gujarat State Fertilizers & Chemicals Ltd. (EQGSFC) Adjusted Stock Prices
XNSE/SUNDARAM,Sundaram Multi Pap Ltd. (EQSUNDARAM) Adjusted Stock Prices
XNSE/HEG,H.E.G. Ltd. (EQHEG) Adjusted Stock Prices
XNSE/FAIRCHEM,Fairchem Speciality Ltd. (EQFAIRCHEM) Adjusted Stock Prices
XNSE/HBSTOCK,HB Stockholdings Ltd. (EQHBSTOCK) Adjusted Stock Prices
XNSE/HBLPOWER,HBL Power Systems Ltd. (EQHBLPOWER) Adjusted Stock Prices
XNSE/HCL_INSYS,HCL Infosystems Ltd. (EQHCL-INSYS) Adjusted Stock Prices
XNSE/HDFCBANK,HDFC Bank Ltd. (EQHDFCBANK) Adjusted Stock Prices
XNSE/HCLTECH,HCL Technologies Ltd. (EQHCLTECH) Adjusted Stock Prices
XNSE/HMT,HMT Ltd. (EQHMT) Adjusted Stock Prices
XNSE/PARAPRINT,Paramount Printpackaging Ltd (EQPARAPRINT) Adjusted Stock Prices
XNSE/HARRMALAYA,Harrisons Malayalam Ltd. (EQHARRMALAYA) Adjusted Stock Prices
XNSE/HATSUN,Hatsun Agro Products Ltd. (EQHATSUN) Adjusted Stock Prices
XNSE/HAVELLS,Havells India Ltd. (EQHAVELLS) Adjusted Stock Prices
XNSE/HELIOSMATH,Helios & Matheson Information Technology Ltd. (EQHELIOSMATH) Adjusted Stock Prices
XNSE/HERCULES,Hercules Hoists Ltd. (EQHERCULES) Adjusted Stock Prices
XNSE/SIGROUPIND,SI Group - India Ltd. (EQSIGROUPIND) Adjusted Stock Prices
XNSE/HERITGFOOD,Heritage Foods Ltd (EQHERITGFOOD) Adjusted Stock Prices
XNSE/HEROMOTOCO,Hero MotoCorp Ltd (EQHEROMOTOCO) Adjusted Stock Prices
XNSE/MATRIXLABS,Matrix Laboratories Ltd. (EQMATRIXLABS) Adjusted Stock Prices
XNSE/HESTERBIO,Hester Biosciences Ltd (EQHESTERBIO) Adjusted Stock Prices
XNSE/HITECHGEAR,The Hi-Tech Gears Ltd (EQHITECHGEAR) Adjusted Stock Prices
XNSE/HITECHCORP,Hitech Corporation Ltd. (EQHITECHCORP) Adjusted Stock Prices
XNSE/HIKAL,Hikal Ltd. (EQHIKAL) Adjusted Stock Prices
XNSE/HFCL,Himachal Futuristic Communications Ltd. (EQHFCL) Adjusted Stock Prices
XNSE/HSCL,Himadri Speciality Chemical Ltd. (EQHSCL) Adjusted Stock Prices
XNSE/HIMATSEIDE,Himatsingka Seide Ltd. (EQHIMATSEIDE) Adjusted Stock Prices
XNSE/HIRECT,Hind Rectifiers Ltd. (EQHIRECT) Adjusted Stock Prices
XNSE/HINDSYNTEX,Hind Syntex Ltd. (EQHINDSYNTEX) Adjusted Stock Prices
XNSE/HINDALCO,Hindalco Industries Ltd. (EQHINDALCO) Adjusted Stock Prices
XNSE/HINDUJAVEN,Hinduja Ventures Ltd. (EQHINDUJAVEN) Adjusted Stock Prices
XNSE/HINDCOMPOS,Hindustan Composites Ltd. (EQHINDCOMPOS) Adjusted Stock Prices
XNSE/HCC,Hindustan Construction Co. Ltd. (EQHCC) Adjusted Stock Prices
XNSE/HINDCOPPER,Hindustan Copper Ltd. (EQHINDCOPPER) Adjusted Stock Prices
XNSE/FCONSUMER,Future Consumer Ltd (EQFCONSUMER) Adjusted Stock Prices
XNSE/E4KARURVYSYA,Karur Vysya Bank Ltd. (E4KARURVYSYA) Adjusted Stock Prices
XNSE/HINDDORROL,Hindustan Dorr-Oliver Ltd. (EQHINDDORROL) Adjusted Stock Prices
XNSE/INNOIND,Innoventive Industries Ltd (EQINNOIND) Adjusted Stock Prices
XNSE/MICRO,Micro Inks Ltd. (EQMICRO) Adjusted Stock Prices
XNSE/HINDUNILVR,Hindustan Unilever Ltd. (EQHINDUNILVR) Adjusted Stock Prices
XNSE/HINDMOTORS,Hindustan Motors Ltd. (EQHINDMOTORS) Adjusted Stock Prices
XNSE/VASWANI,Vaswani Industries Ltd (EQVASWANI) Adjusted Stock Prices
XNSE/HINDNATGLS,Hindusthan National Glass & Industries Ltd. (EQHINDNATGLS) Adjusted Stock Prices
XNSE/HINDOILEXP,Hindustan Oil Exploration Co. Ltd. (EQHINDOILEXP) Adjusted Stock Prices
XNSE/HOCL,Hindustan Organic Chemicals Ltd. (EQHOCL) Adjusted Stock Prices
XNSE/HINDPETRO,Hindustan Petroleum Corporation Ltd. (EQHINDPETRO) Adjusted Stock Prices
XNSE/HSIL,HSIL Ltd (EQHSIL) Adjusted Stock Prices
